Duration,Start date,End date,Start station number,Start station,End station number,End station,Bike number,Member type
679,5/1/2018 0:00,5/1/2018 0:11,31302,Wisconsin Ave & Newark St NW,31307,3000 Connecticut Ave NW / National Zoo,W22771,Member
578,5/1/2018 0:00,5/1/2018 0:09,31232,7th & F St NW / National Portrait Gallery,31609,Maine Ave & 7th St SW,W21320,Casual
580,5/1/2018 0:00,5/1/2018 0:10,31232,7th & F St NW / National Portrait Gallery,31609,Maine Ave & 7th St SW,W20863,Casual
606,5/1/2018 0:01,5/1/2018 0:11,31104,Adams Mill & Columbia Rd NW,31509,New Jersey Ave & R St NW,W00822,Member
582,5/1/2018 0:04,5/1/2018 0:14,31129,15th St & Pennsylvania Ave NW/Pershing Park,31118,3rd & Elm St NW,W21846,Member
175,5/1/2018 0:06,5/1/2018 0:09,31104,Adams Mill & Columbia Rd NW,31117,15th & Euclid St  NW,W22986,Member
1605,5/1/2018 0:07,5/1/2018 0:34,31264,6th St & Indiana Ave NW,31641,2nd St & Massachusetts Ave NE,W21891,Casual
1591,5/1/2018 0:07,5/1/2018 0:34,31264,6th St & Indiana Ave NW,31641,2nd St & Massachusetts Ave NE,W22665,Casual
509,5/1/2018 0:07,5/1/2018 0:16,31116,California St & Florida Ave NW,31203,14th & Rhode Island Ave NW,W01330,Member
592,5/1/2018 0:07,5/1/2018 0:17,31609,Maine Ave & 7th St SW,31609,Maine Ave & 7th St SW,W22911,Member
1237,5/1/2018 0:07,5/1/2018 0:28,31609,Maine Ave & 7th St SW,31230,Metro Center / 12th & G St NW,W00928,Casual
697,5/1/2018 0:08,5/1/2018 0:19,31294,7th & E St SW,31636,New Jersey Ave & N St NW/Dunbar HS,W23450,Member
1226,5/1/2018 0:08,5/1/2018 0:28,31609,Maine Ave & 7th St SW,31230,Metro Center / 12th & G St NW,W22964,Casual
582,5/1/2018 0:09,5/1/2018 0:18,31624,North Capitol St & F St NW,31241,Thomas Circle,W20390,Member
554,5/1/2018 0:11,5/1/2018 0:20,31111,10th & U St NW,31241,Thomas Circle,W21125,Member
993,5/1/2018 0:15,5/1/2018 0:31,31237,25th St & Pennsylvania Ave NW,31288,4th St & Madison Dr NW,W22286,Member
